Temperature	0.0uM_1	0.0uM_2	
36.049152	0.003996	0.005192
36.06884	0.004056	0.005258
36.088528	0.004116	0.005325
36.108215	0.004177	0.005393
36.127907	0.004239	0.005461
36.147594	0.004301	0.005529
36.167282	0.004364	0.005598
36.18697	0.004427	0.005667
36.206657	0.004491	0.005737
36.22635	0.004555	0.005807
36.246037	0.00462	0.005878
36.265724	0.004686	0.005949
36.28541	0.004751	0.00602
36.3051	0.004818	0.006092
36.324787	0.004885	0.006165
36.34448	0.004952	0.006238
36.364166	0.00502	0.006311
36.383854	0.005088	0.006385
36.40354	0.005157	0.006459
36.42323	0.005227	0.006534
36.44292	0.005296	0.006609
36.46261	0.005367	0.006684
36.482296	0.005438	0.00676
36.501984	0.005509	0.006837
36.52167	0.005581	0.006914
36.541363	0.005653	0.006991
36.56105	0.005726	0.007069
36.580738	0.005799	0.007148
36.600426	0.005872	0.007226
36.620113	0.005946	0.007306
36.6398	0.006021	0.007386
36.659492	0.006096	0.007466
36.67918	0.006171	0.007547
36.698868	0.006247	0.007628
36.718555	0.006323	0.00771
36.738243	0.006399	0.007792
36.757935	0.006476	0.007875
36.777622	0.006553	0.007958
36.79731	0.006631	0.008042
36.816998	0.006709	0.008126
36.836685	0.006788	0.008211
36.856377	0.006867	0.008296
36.876064	0.006946	0.008382
36.895752	0.007025	0.008468
36.91544	0.007106	0.008554
36.935127	0.007186	0.008642
36.95482	0.007267	0.00873
36.974506	0.007348	0.008818
36.994194	0.00743	0.008907
37.01388	0.007512	0.008996
37.03357	0.007594	0.009086
37.053257	0.007677	0.009176
37.07295	0.007761	0.009267
37.092636	0.007845	0.009358
37.112324	0.007929	0.00945
37.13201	0.008014	0.009543
37.1517	0.008099	0.009636
37.17139	0.008184	0.009729
37.19108	0.008271	0.009823
37.210766	0.008357	0.009918
37.230453	0.008444	0.010013
37.25014	0.008532	0.010108
37.269833	0.00862	0.010204
37.28952	0.008708	0.010301
37.309208	0.008797	0.010398
37.328896	0.008886	0.010496
37.348583	0.008976	0.010594
37.36827	0.009066	0.010693
37.387962	0.009157	0.010793
37.40765	0.009249	0.010893
37.427338	0.00934	0.010993
37.447025	0.009432	0.011094
37.466713	0.009525	0.011196
37.486404	0.009618	0.011298
37.506092	0.009712	0.011401
37.52578	0.009806	0.011504
37.545467	0.009901	0.011608
37.565155	0.009996	0.011712
37.584846	0.010091	0.011817
37.604534	0.010187	0.011923
37.62422	0.010284	0.012029
37.64391	0.010381	0.012136
37.663597	0.010478	0.012243
